County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Lebanon County, Pennsylvania(6)",42075,448.8,1206.3999999999999,80946.5,1263.2,0.0
"Marlboro County, South Carolina(6)",45069,448.8,6435.7,87069.4,3939.4,0.0
"Providence County, Rhode Island(6)",44007,448.6,131.7,257.4,37.7,0.0
"Putnam County, Tennessee(6)",47141,448.5,135.49999999999997,15047.999999999998,200.8,0.0
"Oconee County, South Carolina(6)",45073,448.5,447.49999999999994,10440.2,249.59999999999997,0.0
"Washington County, Tennessee(6)",47179,448.4,115.39999999999998,10384.2,129.8,0.0
"Rutherford County, Tennessee(6)",47149,448.4,473.1,52599.899999999994,749.9,0.0
"Cherokee County, Oklahoma(6)",40021,448.3,203.79999999999998,8557.9,8.8,0.0
"Union County, Georgia(7)",13291,448.2,106.30000000000001,2269.0999999999995,41.099999999999994,0.0
"Nance County, Nebraska(6)",31125,448.2,1393.8,186247.99999999997,2401.9,0.0
"DuPage County, Illinois(7)",17043,448.2,41.4,3313.2999999999993,38.400000000000006,0.0
"Gallatin County, Montana(6)",30031,448.2,1611.8,81893.3,2121.1,0.0
"Talbot County, Georgia(7)",13263,448.1,321.5,1666.8000000000002,254.29999999999998,0.0
"Hall County, Nebraska(6)",31079,448.0,25918.799999999996,353260.30000000005,10700.000000000002,0.0
"Warren County, Ohio(6)",39165,447.9,1164.8000000000002,114550.5,1126.9,0.0
"Huntingdon County, Pennsylvania(6)",42061,447.9,2238.2000000000003,58469.49999999999,721.6999999999999,0.0
"Mercer County, Ohio(6)",39107,447.9,2448.4,187071.50000000003,2003.8000000000002,0.0
"Laurens County, Georgia(7)",13175,447.8,4291.999999999999,34614.2,1944.2,0.0
"Summit County, Ohio(6)",39153,447.8,396.00000000000006,5833.1,135.2,0.0
"Polk County, Nebraska(6)",31143,447.8,2131.2,296824.6999999999,3868.0,0.0
"Reynolds County, Missouri(6)",29179,447.7,10.5,3156.7000000000003,0.0,0.0
"Hardin County, Tennessee(6)",47071,447.7,661.5,56524.7,2048.4,0.0
"Franklin County, Tennessee(6)",47051,447.7,859.9,60278.6,1913.5,0.0
"Charles County, Maryland(6)",24017,447.6,515.3000000000001,20750.2,458.70000000000005,0.0
"Somervell County, Texas(7)",48425,447.5,184.0,1115.9,31.9,0.0
"La Crosse County, Wisconsin(6)",55063,447.5,857.5000000000001,60625.29999999999,478.30000000000007,0.0
"Marion County, Oregon(6)",41047,447.5,15699.300000000001,106433.99999999999,4580.6,0.0
"Perkins County, Nebraska(6)",31135,447.4,21235.199999999997,706684.4,4348.0,0.0
"St. Charles County, Missouri(6)",29183,447.4,2081.3,69943.00000000001,1080.6000000000001,0.0
"Barnes County, North Dakota(6)",38003,447.4,4018.0,546095.1000000001,8626.2,0.0
"Sullivan County, New York(7)",36105,447.4,103.6,1201.6000000000001,32.5,0.0
"Summers County, West Virginia(6)",54089,447.3,146.0,2131.2000000000003,8.700000000000001,0.0
"Todd County, South Dakota(6)",46121,447.1,1757.8,25645.699999999997,186.2,0.0
"Wayne County, Tennessee(6)",47181,447.1,112.49999999999999,23963.300000000003,448.4,0.0
"Robeson County, North Carolina(6)",37155,447.0,14998.199999999999,279116.1,6401.3,0.0
"Osceola County, Iowa(7)",19143,446.8,4536.9,208315.4,3333.8,0.0
"Morgan County, Tennessee(6)",47129,446.8,46.199999999999996,5275.3,40.699999999999996,0.0
"Clay County, Mississippi(6)",28025,446.8,977.9999999999999,44504.5,367.79999999999995,0.0
"Susquehanna County, Pennsylvania(6)",42115,446.5,236.3,2857.1999999999994,78.2,0.0
"Union County, New Jersey(7)",34039,446.4,25.0,544.8,57.0,0.0
"Lamar County, Mississippi(6)",28073,446.4,212.20000000000002,4733.699999999999,196.49999999999997,0.0
"Wright County, Iowa(7)",19197,446.3,5622.6,401346.70000000007,5467.500000000001,0.0
"Sherman County, Nebraska(6)",31163,446.1,18712.699999999997,162198.9,4747.099999999999,0.0
"Monroe County, Illinois(7)",17133,446.1,3216.2999999999997,231836.59999999998,4549.2,0.0
"Bedford County, Tennessee(6)",47003,446.0,364.4,64051.4,884.4,0.0
"Wirt County, West Virginia(6)",54105,446.0,98.7,3352.5,9.799999999999999,0.0
"Dallas County, Iowa(7)",19049,445.9,3567.2999999999997,292490.80000000005,4948.699999999999,0.0
"Clark County, Illinois(7)",17023,445.9,1625.6999999999998,279524.8,2974.0,0.0
"Beadle County, South Dakota(6)",46005,445.9,1896.2999999999997,473504.0,4940.2,0.0
"Van Buren County, Michigan(6)",26159,445.8,5847.299999999999,90538.6,3845.8999999999996,0.0
"Wilson County, Tennessee(6)",47189,445.8,88.4,21958.09999999999,151.70000000000002,0.0
"Meagher County, Montana(6)",30059,445.7,483.8,20667.300000000003,93.5,0.0
"Bertie County, North Carolina(6)",37015,445.6,28745.000000000007,185867.99999999997,5426.800000000001,0.0
"Summit County, Utah(7)",49043,445.6,860.1000000000001,1822.1,13.600000000000001,0.0
