County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Van Zandt County, Texas(7)",48467,467.0,125.0,13.6,65.3,18.0,112.0,24.8,16913.399999999998,220.1
"Tippah County, Mississippi(6)",28139,466.9,124.9,13.6,65.2,18.0,112.0,673.8999999999999,26781.100000000002,822.4000000000001
"Caldwell County, Kentucky(7)",21033,466.8,124.9,13.5,65.2,18.0,111.9,1068.3,161024.80000000002,3905.3
"Crawford County, Ohio(6)",39033,466.8,124.9,13.5,65.2,18.0,111.9,2799.1,180644.10000000003,2601.0
"Ripley County, Missouri(6)",29181,466.8,124.9,13.5,65.2,18.0,111.9,284.49999999999994,18053.5,883.5999999999999
"Kossuth County, Iowa(7)",19109,466.8,124.8,13.5,65.1,18.0,111.9,9357.4,665599.7,9033.900000000001
"Webster County, Georgia(7)",13307,466.7,124.8,13.5,65.1,18.0,111.9,4336.6,25852.9,1142.0000000000002
"Schoharie County, New York(7)",36095,466.6,124.8,13.5,65.1,18.0,111.8,446.8,7428.3,161.7
"Bibb County, Georgia(7)",13021,466.5,124.8,13.5,65.1,18.0,111.8,503.6,1749.7999999999997,215.9
"McHenry County, Illinois(7)",17111,466.5,124.8,13.5,65.1,18.0,111.8,2844.7,238410.60000000003,3076.1000000000004
"York County, Pennsylvania(6)",42133,466.5,124.8,13.5,65.1,18.0,111.8,3172.4000000000005,179196.89999999997,2750.5000000000005
"Baylor County, Texas(7)",48023,466.4,124.7,13.5,65.1,18.0,111.7,622.6999999999999,51947.9,2085.7
"Columbiana County, Ohio(6)",39029,466.4,124.7,13.5,65.1,18.0,111.7,3196.5,44255.299999999996,889.5000000000001
"Monroe County, Georgia(7)",13207,466.3,124.7,13.5,65.1,18.0,111.7,73.89999999999999,1887.6,30.4
"Howard County, Nebraska(6)",31093,466.2,124.6,13.5,65.0,18.0,111.7,23580.299999999996,211479.09999999998,6258.500000000001
"Sabine Parish, Louisiana(7)",22085,466.2,124.6,13.5,65.0,18.0,111.6,0.0,3163.2,1.3
"Burke County, North Carolina(6)",37023,466.2,124.6,13.5,65.0,18.0,111.6,117.6,4108.9,157.6
"Caroline County, Maryland(6)",24011,466.1,124.6,13.5,65.0,18.0,111.5,4353.5,192948.49999999997,3216.6000000000004
"Stillwater County, Montana(6)",30095,466.1,124.6,13.5,65.0,18.0,111.5,1404.5,168852.4,620.8000000000001
"Glacier County, Montana(6)",30035,466.0,124.6,13.5,65.0,18.0,111.5,2017.7,208321.2,3650.7999999999997
"White County, Illinois(7)",17193,465.9,124.5,13.5,64.9,17.9,111.3,2723.2000000000003,218862.90000000005,3932.1
"Hanson County, South Dakota(6)",46061,465.9,124.5,13.5,64.9,17.9,111.3,2746.9000000000005,187245.00000000003,2170.7999999999997
"Bergen County, New Jersey(7)",34003,465.8,124.5,13.5,64.9,17.9,111.3,243.60000000000002,854.1000000000003,111.59999999999998
"Orange County, Texas(7)",48361,465.7,124.5,13.5,64.9,17.9,111.3,0.1,12575.199999999999,0.1
"LaFourche Parish, Louisiana(7)",22057,465.7,124.5,13.4,64.9,17.9,111.3,59.900000000000006,34657.4,31.2
"Harrison County, Ohio(6)",39067,465.7,124.5,13.4,64.8,17.9,111.3,921.7,10855.8,121.8
"Brunswick County, North Carolina(6)",37019,465.6,124.5,13.4,64.8,17.9,111.2,1130.0,29696.7,607.3
"Ramsey County, North Dakota(6)",38071,465.6,124.5,13.4,64.8,17.9,111.2,5150.200000000001,274578.4,9634.1
"Sagadahoc County, Maine(6)",23023,465.6,124.5,13.4,64.8,17.9,111.2,139.79999999999998,708.1000000000001,27.6
"Perry County, Tennessee(6)",47135,465.6,124.4,13.4,64.8,17.9,111.2,68.79999999999998,13696.699999999999,250.7
"Miami County, Ohio(6)",39109,465.5,124.4,13.4,64.8,17.9,111.2,1959.3,152555.4,1424.5
"Lake County, Montana(6)",30047,465.5,124.4,13.4,64.8,17.9,111.1,1094.8000000000002,13080.9,377.0
"Hill County, Texas(7)",48217,465.4,124.4,13.4,64.7,17.9,111.1,11930.899999999998,211467.40000000002,1876.7
"Hutchinson County, Texas(7)",48233,465.4,124.3,13.4,64.7,17.9,111.1,1422.6999999999998,155727.99999999997,879.4
"Windham County, Vermont(6)",50025,465.3,124.3,13.4,64.7,17.9,111.0,333.0,2984.7999999999997,130.8
"Waushara County, Wisconsin(6)",55137,465.3,124.3,13.4,64.7,17.9,111.0,3052.7,96455.2,2506.4999999999995
"Stone County, Mississippi(6)",28131,465.2,124.3,13.4,64.7,17.9,111.0,490.5,4789.5,196.09999999999997
"Rapides Parish, Louisiana(7)",22079,465.2,124.3,13.4,64.6,17.9,110.9,21146.399999999994,133573.79999999996,3373.6
"Pettis County, Missouri(6)",29159,465.1,124.3,13.4,64.6,17.8,110.9,7798.999999999999,169533.20000000004,3343.7
"Washington County, Nebraska(6)",31177,465.1,124.2,13.4,64.6,17.8,110.9,1657.2000000000003,214201.59999999995,2799.8
"Josephine County, Oregon(6)",41033,465.1,124.2,13.4,64.6,17.8,110.9,300.50000000000006,3187.4,252.20000000000002
"Florence County, Wisconsin(6)",55037,465.0,124.2,13.4,64.6,17.8,110.8,131.9,1989.1,194.19999999999996
"Meriwether County, Georgia(7)",13199,465.0,124.2,13.4,64.6,17.8,110.8,455.09999999999997,4076.7000000000003,319.9
"Ashtabula County, Ohio(6)",39007,464.9,124.1,13.4,64.6,17.8,110.8,1455.9,44750.0,874.6
"Stephens County, Oklahoma(6)",40137,464.8,124.1,13.4,64.5,17.8,110.7,841.7,23050.3,123.1
"Jasper County, Iowa(7)",19099,464.8,124.1,13.3,64.5,17.8,110.7,4878.5,398619.89999999997,6748.299999999999
"Coffee County, Tennessee(6)",47031,464.8,124.1,13.3,64.5,17.8,110.7,825.2,65895.19999999998,2142.6000000000004
"Overton County, Tennessee(6)",47133,464.8,124.1,13.3,64.5,17.8,110.6,91.30000000000001,19180.1,181.5
"Newton County, Mississippi(6)",28101,464.6,124.1,13.3,64.5,17.8,110.6,193.8,10240.300000000001,190.8
"Jackson County, Wisconsin(6)",55053,464.6,124.1,13.3,64.4,17.8,110.6,1225.6000000000001,85057.50000000001,736.8000000000001
"Lafayette Parish, Louisiana(7)",22055,464.6,124.0,13.3,64.4,17.8,110.5,746.6,21025.7,818.4
"Sumner County, Tennessee(6)",47165,464.6,124.0,13.3,64.4,17.8,110.5,497.09999999999997,69515.9,1111.5
