AREA_FIPS_CODE,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
38087,11131.8,,,1711.4,4978.2,104.9,1331.6,,51.7,,7587.9,,,0.3,1775.5,,,,,6247.8,,,,5558.1,5558.1,,,,,,,,,,59421.8,,,5.3,,,,,73.7,,,326.1,5887.5,5561.5,41.9,,,19.8,,,1146.7,731,,,1215,,953.7,,,,16.6,0.1,,23.8,120.2,121582
38089,24468.3,,,4092.8,11747.4,271.3,1812.6,,70,,17139.7,,,0.6,3422.9,,,,,13615,,,,13112.4,13112.4,,,,,,,,,,134972.6,,,8.2,,,,,168.1,,,779.7,10444.5,9664.7,168.5,,,30.7,,,2607.2,1621.6,,,3630.6,,2152.1,,,,37.7,18.6,,11.6,284.4,269466.2
38091,18866.6,,,21384.7,11146.1,376.7,18592.3,39.7,882.4,,6439.9,157.5,,7.8,4333.8,,,,,14753.8,,,,14215,14215,,,,,,,,,,119027.1,283.3,,307.8,,,,,106.1,,,10263.4,60703.3,50439.8,2038.9,,,,,,1133.1,440.2,,,6021.2,,5499.2,105.7,,,103.6,94.6,,36.2,69.6,382084.4
38093,26860.4,,,71941.3,35267.4,1539.2,9830.9,169.4,959.5,,9784.1,406,,62.1,7470.9,29.7,7.5,,,28484.1,,,,11160.5,11160.5,,,,,,,,,,243798.5,54.2,,1492.8,14.4,,,,1222,,,16160.8,26666.3,10505.5,4590.3,,,,,,5260.9,1261.9,,,10741.2,,5344.1,269.5,,,276.4,47.7,,747.3,135.3,543722.6
38095,4859.5,,,121.8,43.4,341.4,7516.9,30.4,733.2,,19998.5,571.7,,10.1,4111.5,50.4,12.7,,,8207.1,,,,653.9,653.9,,,,,,,,,,110449,9.6,,72.3,24.3,,,,931.2,,,6044.5,11745.6,5701.2,2204.4,,,,,,3715,947.3,,,2092.7,,3738.6,0.7,,,80.2,41.4,,1.8,356,196072.2
38097,24920.7,,,32416.9,14216.8,1424.4,17211.2,45.4,870.8,,9353,215.1,,8.8,4654.3,36.8,9.3,,,16590.8,,,,18906.7,18906.7,,,,,,,,,,170573.2,258.2,,341.9,17.8,,,,140,,,11696.3,89485.5,77789.2,2394.2,,,,,,2249.4,1735.6,,,6378.4,,5944.9,134.8,,1368.9,185.2,128.7,,19.7,84.1,530713.7
38099,19366,,,1437.1,3387.4,3361.4,46411.6,47.5,4285.6,,21603.4,608.4,,10.6,10847.3,1131.8,285.1,,,8782.3,,,,9995.7,9995.7,,,,,,,,,,187362.4,44.6,,119.2,546.8,,,,1031.3,,,7325.2,38864.9,31539.7,5782,,,,,,4964,4801.8,,,2731.6,,6104.9,52.3,,6272.4,138.1,717,,2.9,395.4,440353.4
38101,21818.3,,,6623.9,3650.4,161.7,1858.6,,116.6,,23210.5,,,42.5,2774.6,,,,,8902,,,,1951.1,1951.1,,,,,,,,,,292556.6,3.3,,261.9,,,,,219.2,,,868.7,7935.8,7067.1,1708.6,,,,,,4070.3,1901.4,,,2898.3,,1268.1,,,,178.1,12.7,,7.4,315.2,394334
38103,13403.8,,,30123.4,14698.8,697,8817.4,79.5,699.6,,1488.8,46.4,,32.2,4397,,,,,14353.8,,,,5757,5757,,,,,,,,,,118330.5,131.9,,784.2,,,,,166.6,,,7932,19625.2,11693.3,2414.7,,,,,,860,642.4,,,6422.1,,1393.6,112.3,,,136.9,15.1,,362.2,52.6,271427.3
38105,21028.6,,,987.4,893.1,351.6,3797.5,,11557.6,,28975.5,,,4.1,2339.2,,,,,7046.6,,,,948.7,948.7,,,,,,,,,,175960.9,331.3,,64,,,,,267.8,,,129.5,12449.3,12319.8,513.6,,,,,,4256.8,2992.5,,,1609.7,,1813,,,266.4,135.4,19.6,,12.2,1545.1,293565.5
